Accuracy,ROC_AUC,Sensitivity,Specificity,Iteration
0.5760869565217391,0.5577651515151515,0.9791666666666666,0.13636363636363635,0
0.5747126436781609,0.5666666666666667,0.8,0.3333333333333333,1
0.6144578313253012,0.6191860465116279,0.4883720930232558,0.75,2
0.5571428571428572,0.5580065359477124,0.5277777777777778,0.5882352941176471,5
0.62,0.6266025641025642,0.46153846153846156,0.7916666666666666,10
0.5333333333333333,0.5401785714285714,0.4375,0.6428571428571429,15
0.5714285714285714,0.5772727272727272,0.45454545454545453,0.7,17
0.5714285714285714,0.5772727272727272,0.45454545454545453,0.7,17
